datetime,title,content,url
2018-09-23 17:11,埃及首批中国国际进口博览会参展品起运,新华社开罗9月23日电（记者于涛 郑思远）埃及首批参加中国国际进口博览会的展品22日从埃及苏伊士运河塞得港正式起运前往上海。 首批起运的展品包括埃及国家展馆的手工艺品、艺术品、棉纺织品等，以及部分参展企业的医疗设备... ,http://finance.sina.com.cn/roll/2018-09-23/doc-ihkmwytn7043668.shtml
2018-09-23 13:11,距离进博会开幕还有43天，中美洲首批展品从巴拿马启运上海,中国国际进口博览会中美洲首批展品启运上海。中远海运集团 供图 距2018年11月5日中国国际进口博览会开幕还有43天，当装载着中国国际进口博览会首批展品的中远西班牙轮沿着“21世纪海上丝绸之路”驶向上海的同时，来自巴巴多斯（中美洲国家）、... ,http://www.thepaper.cn/newsDetail_forward_2469198
2018-09-19 15:54,大船集团再交一艘31.9万吨VLCC,9月18日，大船集团为大连中远海运油品运输有限公司建造的31.9万吨VLCC78号船“远新湖”号举行命名仪式。中远海运能源副总经理、大连油运总经理杨世成，中远海运能源副总经理罗宇明、赵金文，以及大船集团、中国船贸、大连口岸局、香港... ,http://news.mysteel.com/18/0919/09/G5464E27F38E43D31.html
2018-09-18 09:48,外高桥造船交付中国矿运第三艘VLOC,9月17日上午，由上海外高桥造船有限公司为中远海运散运旗下中国矿运有限公司建造的第三艘第二代40万吨矿砂船（VLOC）“远谊海”号命名交付。本次命名交付的“远谊海”号在出坞前内装工程完整性、出坞周期与完整性以及试航周期中均创造外... ,http://news.mysteel.com/18/0918/09/9604C1ADD0C4BE87.html
2018-09-18 01:30,广东中远海运重工完成半潜式辅助钻井平台18米沉浮试验,9月13日上午10时许，历时近20小时的努力，广东中远海运重工在公司码头作业水域自主完成了半潜式辅助钻井平台18米沉浮试验并顺利回靠码头。 18米沉浮试验是平台最后一项功能性试验，也是取得有关资质证书的必要条件。本次试验的难点在... ,http://news.mysteel.com/18/0917/13/E9C9CD0EEE15BBDB2.html
2018-09-17 09:29,南通远洋配套获40万吨矿砂船内装订单,近日，南通远洋船舶配套有限公司成功与扬州中远海运重工签订H1442船内装总包合同。 H1442船是40万吨矿砂船的首制船，这是中远海运集团内部企业协同合作的船型，也是南通远洋船舶配套在扬州中远海运重工承接的第五个内装项目。公司各相关... ,http://news.mysteel.com/18/0917/09/4EB0264B86B47DD2.html
2018-09-13 17:33,舟山中远海运重工交付第5艘3600TEU集装箱船,9月10日，舟山中远海运重工为马士基航运建造的第五艘3600TEU集装箱船“VUOKSI MAERSK”顺利签字交付。9月11日，该轮举行命名仪式。 马士基航运高层代表Jan Kaergaard Lang，舟山中远海运重工总经理周建华、常务副总经理黄旭、副总经理... ,http://news.mysteel.com/18/0913/09/M5F04C120217C200D.html
2018-09-13 09:21,沪东中华14500箱系列船圆满收官,9月12日，沪东中华建造的“中远海运安第斯”轮命名交付，该船是我司为中远海运集运建造的第五艘14500箱船，也是该系列船收官之作。 上海市虹口区航运办主任张萍应邀担任该船教母，沪东中华常务副总经理、长兴造船总经理黄一平，中远海运... ,http://news.mysteel.com/18/0913/09/AE5EB943D77E5169.html
2018-09-12 14:51,中远海运能源又一艘亚马尔冰区LNG船命名,9月11日上午，韩国大宇造船玉浦船厂举行为中远海运能源所属上海LNG亚马尔冰区项目17.2万立方米LNG船命名仪式，该船被正式命名为“Vladimir Vize”（弗拉基米尔·维泽）号。 俄罗斯诺瓦泰克公司预算执行管理部总经理Irina Ershova女士... ,http://news.mysteel.com/18/0912/11/RD14F766F07771EC5.html
2018-09-12 10:03,舟山中远海运重工首制11.3万载重吨原油轮试航成功,9月9日22:30，六号码头灯火通明，舟山中远海运重工首制11.3万载重吨原油轮（N753）完成试航。 9月1日，N753船正式启程，开始为期9天的试航。试航期间，项目组圆满完成了航海试验大纲一系列项目，船舶振动、噪声、航速、主机油耗等技术指... ,http://news.mysteel.com/18/0912/09/F10B382224122A76.html
2018-09-11 17:03,料中远海运港口(01199.HK)盈利稳定 维持“买入”评级,大和报告指，中远海运港口(01199.HK)吞吐量稳健，预期该公司2018-2019年度盈利前景稳定，而发改委推出的减税措施及贸易摩擦对公司营运影响有限，大和认为，该股现价吸引，重申“买入”评级，目标价为10.2港元。 报告又引述中远海运港... ,http://sc.stock.cnfol.com/ggzixun/20180911/26860442.shtml
2018-09-10 17:20,南通中远重工交付大连中远海运重工N849纸浆船舱盖,9月6日，满载着N849纸浆船舱盖的船舶慢慢驶离码头，标志着南通中远重工为大连中远海运重工制作的第二套62000吨纸浆船舱盖成功交付。 62000吨多用途纸浆船是大连中远海运重工为中远海运特运建造的新型多用途纸浆船，总长201.8米、宽32.... ,http://news.mysteel.com/18/0910/09/I88DDDBA2B304F02F.html
2018-09-10 10:44,广东中远海运重工首制CTV完成试航,9月8日，广东中远海运重工首制的深海动力定位原油转驳船（CTV）经过9天试航，比预期12天提前3天完成全部试航任务，顺利抵达靠泊码头。 在南通中远船务1号船经验基础上，广东中远海运重工全体试航人员在陆上部门的支持下，发扬团结协作精... ,http://news.mysteel.com/18/0910/10/55C864F7FE9266AA.html
2018-09-06 19:46,中远海运重工与Torgy LNG合作建造LNG模型舱,日前，中远海运重工与挪威Torgy LNG签署了建造A型LNG模型舱合作协议。中远海运重工与Torgy LNG的合作将使双方具备为潜在用户提供A型LNG模型舱交钥匙工程能力。 该模型舱将成为Torgy LNG在中国的样板工程，一方面将帮助Torgy LNG给潜在... ,http://news.mysteel.com/18/0905/13/ZA1EC9C2CA74A09FB.html
2018-09-03 14:28,中意企业携手规划海上丝路新蓝图,新华社记者吴嘉林 7月末从青岛出发，中远海运集团旗下的“中远荷兰”轮集装箱船驶过风平浪静的东海、南海，穿越季风呼啸的印度洋，在两岸绿洲与沙漠交替中通过苏伊士运河进入地中海，于８月底驶入意大利拉斯佩齐亚的港口停靠。 坐拥亚平... ,http://news.mysteel.com/18/0903/14/D080593D125C5FC5.html
2018-08-31 13:17,中远海控上半年盈利船队规模首次突破200万标准箱,8月30日，中远海运控股股份有限公司（以下简称“中远海控”或“公司”）公布2018年中期业绩。 2018年上半年，全球经济总体延续复苏态势，集装箱运输需求温和增长，全球货运量同比增长6.2%，但由于大型集装箱船舶的集中交付，全球运力... ,http://news.mysteel.com/18/0831/10/K7F258086DCF4364C.html
2018-08-31 09:18,大连中远海运重工3号FPSO压缩机模块项目开工,8月28日，大连中远海运重工为巴西国家石油建造的P71 FPSO压缩机模块项目正式开工。该项目是继2016年成功交付巴西国家石油P67、P68两个FPSO压缩机模块项目后，大连中远海运重工承接的第三个FPSO压缩机模块EPC项目。 压缩机模块是海上浮式... ,http://news.mysteel.com/18/0831/09/1991C45CA5DC592A.html
2018-08-31 02:28,扬州中远海运重工承建民生金融租赁12艘散货船完美收官,8月29日上午，扬州中远海运重工为民生金融租赁建造的64000吨散货船（CIS64000-54）“OCEAN OUTSTANDING”轮命名交船仪式在上海长兴举行，至此该系列12艘船的建造画上一个圆满的句号。 中远海运重工副总经理赵增山、扬州中远海运重工总... ,http://news.mysteel.com/18/0830/11/L7CAA21E83BEDF513.html
2018-08-30 23:55,中远海控(01919)中期股东应占溢利同比减少98%至4079.6万元,中远海控(01919)发布2018年中期业绩，收入同比增长3.7%至450.41亿元人民币(单位下同)；股东应占溢利同比减少98%至4079.6万元；每股收益0.004元。 期内中远海运集运完成货运量1123.5万标准箱，同比增长12.4%，超过市场货量平均增幅... ,"http://finance.eastmoney.com/news/1354,20180830937451775.html"
2018-08-30 17:22,大连中远海运重工与三菱签署脱硫塔建造合作协议,8月28日，大连中远海运重工与三菱造船株式会社、三菱日立株式会社就脱硫塔（MHI SOX SCRUBBER）建造合作事宜签署框架合作协议。三菱造船株式会社执行副总裁Mr. Tohru Kitamura，三菱日立株式会社总经理Mr.Morio Kagami，三菱商社总经... ,http://news.mysteel.com/18/0830/09/AB1FFC14FB3975717.html
2018-08-30 14:37,全球最大在航集装箱船舶靠泊大连港,图为超大型集装箱“中远海运宇宙”轮。 朴峰 摄 中新网大连8月30日电 (记者 杨毅)由中国建造、具有完全自主知识产权的超大型集装箱“中远海运宇宙”轮，30日上午在大连港大窑湾15区作业后，缓缓驶离大连港集装箱码头，这是... ,http://finance.sina.com.cn/roll/2018-08-30/doc-ihikcahh0333480.shtml
2018-08-30 13:11,大摩：中远海运港口目标升至9.31元 与大市同步评级,摩根士丹利发表报告，称中远海运港口（01199）上半年净利润为1.69亿美元，为该行此前全年预测的64%和市场预期的67%。该行称，优于预期的盈利增长主要体现在其母公司中远海运控股的大量支持、上海和青岛码头关... ,http://finance.sina.com.cn/stock/hkstock/hkgg/2018-08-30/doc-ihikcahf9069121.shtml
2018-08-27 12:44,中远海运港口(01199)中期经调整纯利同比增70.1%至1.69亿美元 中期息每股17.3港仙,中远海运港口(01199)公告，截至2018年6月30日止6个月，总吞吐量同比上升26.5%至5670.7万标准箱，权益吞吐量增长22.3%至1796.7万标准箱，收入同比增长79.7%至约4.95亿美元，公司股权持有人应占利润1.69亿美... ,http://finance.sina.com.cn/stock/hkstock/ggscyd/2018-08-27/doc-ihifuvph5958545.shtml
2018-08-25 14:13,南通中远海运川崎为招商轮船建造首艘VLCC命名,8月23日，南通中远海运川崎船舶工程有限公司举行为招商轮船建造的超大型油轮（VLCC）“凯冠”轮（New Champion）命名仪式。招商轮船董事总经理谢春林、南通中远海运川崎船舶工程有限公司中方总经理陈弓、日方总经理水野雅方，中海石油... ,http://news.mysteel.com/18/0824/09/VD0FC21B2BDC2564A.html
2018-08-24 09:28,舟山中远海运重工与威海中远科技签署压载水系统供货合同,8月22日，舟山中远海运重工与威海中远科技“8.16万吨系列散货船压载水系统供货合同”签约仪式在舟山六横举行。正在舟山中远海运重工调研的中远海运重工副总经理贾连军、战略和企业管理部总经理宫朝岩出席了签字仪式。舟山中远海运重工总... ,http://news.mysteel.com/18/0824/09/EDC578207B8BB66A.html
2018-08-23 13:45,扬州中远海运重工和SDARI签订81200吨散货船设计合同,8月22日，扬州中远海运重工和上海船舶设计研究院（SDARI）共同签订了81200吨系列散货船设计合同。 扬州中远海运重工王志峰总经理一行在上海拜访了上海船舶设计研究院（SDARI）胡劲涛院长，双方围绕新船型设计及战略合作等进行了友好交流... ,http://news.mysteel.com/18/0823/13/A40C822E8E0AC832.html
2018-08-23 10:53,广船国际11.4万吨原油船首制船开工,8月15日，广船国际为中远海运能源运输股份有限公司建造的11.4万吨原油船首制船正式开工。中远海运能源运输股份有限公司安监部造船室经理孙嵘为开工按下启动按钮，并与中国船级社广州分社南沙检验处处长沈小清，广船国际副总经理欧传杰... ,http://news.mysteel.com/18/0823/09/O24D75FA058F56E09.html
2018-08-22 10:29,广东中远海运重工2号集装箱船主船体成型,继1750TEU集装箱船系列首制船N739于本月上旬按期下水之后，2号船N740也于8月18日按期完成主船体成型节点。目前，广东中远海运重工系列集装箱船建造项目有序推进。 得益于深入“学川崎”，N740项目充分吸收了首制船的建造经验，快速落... ,http://news.mysteel.com/18/0822/09/V7FC6643332DB0BEB.html
2018-08-22 01:47,舟山中远海运重工完成5艘TCO项目海运段执行船支墩安装工程,日前，中远海运特运半潜驳船“雅玛”轮在舟山中远海运重工圆满完成TCO项目支墩安装工程，启程驶向韩国，执行模块装载任务。 截至目前，舟山中远海运重工已完成“康盛口”、“巨人”、“泛洋”、“克瑞斯”、“雅玛”等五艘TCO项目海运... ,http://news.mysteel.com/18/0821/14/RC6433B4A54214504.html
2018-08-21 09:47,大连中远海运川崎交付首制2万箱集装箱船,8月20日，大连中远海运川崎为中远海运集装箱运输有限公司建造的首艘20000TEU级集装箱船“中远海运天蝎座”轮（COSCO SHIPPING SCORPIO）命名交付。中国远洋海运集团有限公司董事长、党组书记许立荣，副总经理王宇航，上海国际港务（集团... ,http://news.mysteel.com/18/0821/09/F87733AE60E0721B.html
2018-08-17 18:29,中远海能(01138)向子公司提供5000万美元担保,智通财经APP讯，中远海能(01138)公布，公司为该公司全资子公司中海发展香港借入的花旗银行香港分行5000万美元借款向中国农业银行上海市分行申请开立备用信用证，担保金额为5000万美元，并承担连带责任，期限为一年。 中海发展(香港)航运... ,http://www.zhitongcaijing.com/content/detail/145388.html
2018-08-16 09:03,扬州中远海运重工第二艘30.8万吨油船顺利试航,8月15日下午3时，扬州中远海运重工、大连船舶重工联合为中远海运能源建造的30.8万吨VLCC系列油轮的第二艘“新茂洋”轮在拖轮的牵引下，缓缓离开扬州中远海运重工3#舾装码头，顺利开启试航之旅。 “新茂洋”轮总长333米、型宽60米，是扬... ,http://news.mysteel.com/18/0816/09/128787EC0D27056A.html
2018-08-10 19:12,东方海外国际(00316):中远海控拟转让8464.02万股以恢复公众持股量,东方海外国际(00316)发布公告，联席要约人已共同及个别向联交所承诺，会采取适当步骤，以确保东方海外国际股份有足够的公众持股量。 中远海运要约人与该等买方(即Crest Apex、融实国际及PSD Investco)订立该等买卖协议，内容有关建议... ,http://sc.stock.cnfol.com/ggzixun/20180810/26748601.shtml
2018-08-10 09:13,广东中远海运重工首制1750TEU集装箱船下水,8月9日，广东中远海运重工系列1750TEU集装箱船首制项目下水后顺利出坞。至此，该首制项目已连续实现了分段、船台、下水大节点全部按期完成，为首制船水下工程推进和后续系列船提质增效奠定了坚实的基础。 为将首制箱船打造成标杆工程，... ,http://news.mysteel.com/18/0810/09/80B8734B60E6C5A4.html
2018-08-09 22:55,“天惠”轮圆满结束北极东北航道航行,北京时间8月3日晚，中远海运特运“天惠”轮驶出北极东北航道东端白令海峡，标志着该轮圆满结束首航北极东北航道任务。 “天惠”轮是中远海运特运2018年第一艘航行北极的船舶，这也是她的北极处女航。 该轮于7月21日抵达挪威北角正式进... ,http://news.mysteel.com/18/0808/09/X9D7CCA11AEF71865.html
2018-08-09 11:33,两个平台超5万吨 “新光华”轮再创新纪录！,8月7日，中远海运特运10万吨半潜船新光华轮在美国新奥尔良外海锚地成功潜装总重超5万吨的两座半潜式石油钻井平台。这是继去年祥云口轮之后，中远海运特运特运半潜船第二次一次性装载两座半潜式钻井平台，也是首次单船运输重量超5万吨货... ,http://news.mysteel.com/18/0809/11/2BA0BBF4D09EC20A.html
2018-08-08 09:49,广东中远海运重工首制深海原油中转船全力保试航,近期，广东中远海运重工首制深海原油中转船项目N706项目组正在全力冲刺试航，项目调试会每周开3次，每次都会到晚上9点，以确保所有节点按时完成。 继7月6号成功完成倾斜试验之后，N706项目组全力冲刺8月下旬的试航节点，已经完成了舷梯... ,http://news.mysteel.com/18/0808/09/755FE3C4DD5DAB9A.html
2018-08-07 21:03,中国货轮首次取道北极赴欧，中巴经济走廊累计贷款60亿美元,本文原标题：《最新丝路新闻！中国货轮首次取道北极赴欧，中巴经济走廊累计贷款60亿美元》 中国货轮首次取道北极航道赴欧洲 8月4日，天恩号货轮停靠在江苏省连云港港口码头。（来源：新华社） 8月4日，江苏连云港港口，中远海运集团旗下中远海... ,http://www.thepaper.cn/newsDetail_forward_2328366
