datetime,title,content,url
2018-09-25 18:29,09月25日 大宗交易,"09月25日 共有51只个股现身大宗交易平台， 累计成交量3.45亿股， 累计成交额18.71亿元。 其中36只个股交易额超千万元，利亚德(300296,诊股)交易额最高， 大宗交易共1笔， 成交额22801.62 万元； 其次是包钢股份(600010,诊股)， 大宗交易共4... ",http://stock.jrj.com.cn/2018/09/25182825136028.shtml
2018-08-31 17:09,包钢股份半年报业绩高增长“稀土钢”打开盈利空间,包钢股份半年报业绩高增长“稀土钢”打开盈利空间 2018年08月31日 16:55来源：证券市场红周刊作者：特约作者洪敏 8月23日，包钢股份发布了半年报业绩，营业收入和净利润实现了双双增长。半年报显示，公司半年度营业收入316.81亿元，同比增加49... ,http://news.hongzhoukan.com/18/0831/lxw165532.html
2018-08-29 10:35,包钢股份上半年实现净利17.57亿元,包钢股份8月28日晚发布2018年半年报。报告期内，公司共实现营业收入316.81亿元，同比增长49.92%；实现归属于上市公司股东净利润为14.16亿元，同比增长141.00%。 此外，报告期内公司生铁产量完成730万吨，同比增长10.86%；钢747万吨，同... ,http://news.mysteel.com/18/0829/10/9E0C3981EB006E2C.html
2018-08-28 18:46,包钢股份2018年半年度董事会经营评述,包钢股份（600010）2018年半年度董事会经营评述内容如下： 一、经营情况的讨论与分析 报告期内公司生铁产量完成730万吨，同比增长10.86%;钢747万吨，同比增长11.4%;商品坯材715万吨，同比增长15.19%;生产销售稀土精矿12.13万吨，实现... ,http://yuanchuang.10jqka.com.cn/20180828/c606822613.shtml
2018-08-21 01:02,包钢股份股价下跌近40% 参与定增方解禁后仍浮盈,包钢股份今年股价下跌近40% 参与定增方三年解禁后仍浮盈 每经记者 李少婷 每经编辑 胥 帅 走在包钢主厂区，随处可见来往匆忙的车辆，其中包括拉着钢材的货车，车身上写着四个大字——热爱包钢。 为建设包钢，上... ,http://finance.sina.com.cn/chanjing/gsnews/2018-08-21/doc-ihhxaafz5526481.shtml
2018-08-20 23:01,转型近5年稀土业务仍靠卖资源支撑 包钢股份298亿募资项目落地“变奏”,"包钢股份(600010,诊股)部分关联交易示意图 图片来源：邹利 制图 沿着包头市的标志性街道“钢铁大街”一直向西走，在横跨昆都仑河后，“包钢欢迎您”的字样出现在眼前，提示访客走入了内蒙古工业“长子”的地界。 包钢集团 图片来源：每经记... ",http://stock.jrj.com.cn/2018/08/20225424977569.shtml
2018-08-20 23:00,包钢股份卖稀土精矿两年净赚30亿 “兄弟”北方稀土包揽订单有苦难言？,"从包头市区驱车40分钟，可以在公路上看到远高过人头的“围墙”，“墙”内是包钢股份(600010,诊股)用269亿元从控股股东包钢集团手中买下的尾矿库资产，通过无人机航拍可以看到，两个排泄口源源不断地向内输入灰色尾矿。 包钢股份尾矿库航拍 ... ",http://stock.jrj.com.cn/2018/08/20225424977570.shtml
2018-08-07 17:20,亚洲最大气体服务公司调研包钢股份,上证报讯包钢股份（600010）7日在上交所互动平台披露，近日，包钢(集团)公司总经理孙国龙与盈德气体集团有限公司高管就深入合作举行座谈，公司副总经理李德刚，总经理助理章智强，包钢股份领导及相关部门人员参加座谈。 据介绍，盈德气体是... ,http://stock.10jqka.com.cn/20180807/c606242798.shtml
2018-07-17 17:50,包钢股份与北京东风电器签署战略合作协议,近日，包钢股份与北京东风电器有限公司(以下简称东风电器)签署战略合作协议。 包钢股份与东风电器开展战略合作是包钢以供给侧结构性改革为主线，推动企业高质量发展的有力举措。对包钢股份来说，这次战略合作有助于其借助东风电器... ,"http://finance.eastmoney.com/news/1354,20180717908249440.html"
2018-07-13 00:21,包钢股份股东质押2000万股 占总股本比例0.04%,"7月13日包钢股份公告信息显示，包钢集团于2018年7月11日将持有的包钢股份无限售流通股20,000万股在银河证券股份有限公司(以下简称“银河证券”)办理了补充质押业务,本次业务已由银河证券于2018年7月11日在中国证券登记结算公司办理申... ",http://yuanchuang.10jqka.com.cn/20180713/c605655878.shtml
2018-07-06 03:42,包钢股份 控股股东补充质押3.51亿股,包钢股份7月5日晚公告称，控股股东包头钢铁(集团)有限责任公司出具的补充质押的函，包钢集团将其持有的公司无限售流通股股票共计3.51亿股进行了补充质押。本次补充质押后，包钢集团共质押包钢股份股票109.9亿股，占其持有总额的44... ,"http://finance.eastmoney.com/news/1354,20180706901440152.html"
2018-06-30 16:08,熊途漫漫定增大王按兵不动 包钢股份增发变相债转股?,熊途漫漫“定增大王”按兵不动包钢股份增发变相债转股？ 近期A股市场持续调整，刷新2年内新低，部分公司股价大幅下挫也导致相关股东股权质押触及平仓线，面临平仓风险的上市公司，不得不补充质押。 随着包钢股份(600010.SH)股价近... ,"http://finance.eastmoney.com/news/1354,20180630897953222.html"
2018-06-07 07:23,“1元股”存高风险,"1月下旬以来，大盘调整，“1元股”明显增多。一项市场统计显示，6月5日收盘，沪深两市共有13只“1元股”，其中ST股票占了9只。 6月5日收盘，按股价由低到高，13只“1元股”分别是ST锐电、中弘股份(000979,股吧)、*ST保千、*ST华信、包钢股份(600... ",http://stock.hexun.com/2018-06-07/193159500.html
2018-05-30 13:51,未来三个月两市解禁规模近万亿元,未来三个月两市解禁规模近万亿元 广州日报讯(全媒体记者杨欣)包钢股份周二跌至1.76元的两年来新低。据悉，包钢股份是本周解禁数量最大的公司，以最新股价计算，解禁市值达193.73亿元。 而统计显示，未来3个月近400只股票将有限售股解禁... ,http://www.chinanews.com/stock/2018/05-30/8526220.shtml
2018-05-29 11:50,包钢股份:解禁盘没有报道那么恐怖 董监高拟增持股票,"包钢股份(600010,诊股)在互动平台表示，大股东包钢集团承诺延期一年解禁，二股东国华人寿和理家盈是一直行动人，持股合并计算为8.53%，属于“大股东”，减持需要提前15天发减持计划，目前尚未看大二股东的减持计划。而其他受限股股股东，作... ",http://stock.jrj.com.cn/2018/05/29114624604756.shtml
2018-05-29 09:26,包钢股份去年赚20亿 高管集体增持仍跌进1元仙股行列,《号外财经》文/米莱 据Wind统计数据显示，本周二级市场共有53家公司限售股解禁，合计解禁量158.48亿股，以5月25日的收盘价计算，合计解禁市值为1177.10亿元。其中，解禁市值过百亿的公司有4家，包钢股份是本周解禁数量最大的公司，根据公司... ,http://stock.jrj.com.cn/2018/05/29091724603577.shtml
2018-05-29 07:50,猛砸跌停！百亿解禁引担忧 6月解禁还有这些股(表),"又见大型公司股票暴跌，这次是包钢股份(600010,诊股)。 百亿市值股份解禁日，包钢股份放量跌停！ 此前呈持续阴跌之势的包钢股份今天突然放量大跌，截至收盘，包钢股份跌停，全天成交9.95亿元，为此前一个交易日的9倍。 股价出现暴跌，伴随着... ",http://stock.jrj.com.cn/2018/05/29074224602994.shtml
2018-05-28 22:14,包钢股份解禁首日放量跌停 未来3月12股解禁过百亿,市场排雷仍持续，这次又轮回到限售股解禁。今日包钢股份近百亿股限售股解禁，放出巨量，股价跌停收盘创年内新低。值得注意的是，未来3个月还将有近万亿元限售股解禁，其中也不乏一些巨量解禁股情况。届时部分股票的股价，或将面临... ,"http://finance.eastmoney.com/news/1354,20180528878861237.html"
2018-05-28 18:48,包钢股份澄清：定增价格并非1.09元每股,中国证券网讯（记者孔子元）包钢股份公告：有市场传闻，认为公司非公开发行股票的发行价格为1.09元。公司澄清：公司拟非公开发行股票拟募集资金总额不超100亿元，由包钢集团全额认购，发行股份总数不超过发行前总股本的20%... ,http://ggjd.cnstock.com/company/scp_ggjd/tjd_ggkx/201805/4227087.htm
2018-05-25 09:06,包钢股份打响2元“守卫战” 上市18年高管首提增持,导读 面对未来可能沦为“仙股”的危险，包钢股份也并非无动于衷。5月23日晚间，公司便罕见地抛出了一份增持计划，增持对象涵盖了在任的20名董监高人员，董事长李德刚、总经理李晓，以及邹彦春等4名副总经理在内的主要经营班子全部在列。 2.01元... ,http://company.stcn.com/2018/0525/14271831.shtml
