datetime,title,content,url
2018-05-24 07:36,5月24日沪深两市最新交易提示,"根据交易所公告，今日工业富联(601138,诊股)可申购，东软载波(300183,诊股)等53股召开股东大会。 【股东大会召开日】 东软载波 蓝科高新 凯利泰(300326,诊股) 楚天高速(600035,诊股) 鲁商置业(600223,诊股) 众兴菌业(002772,诊股) 天山生物(... ",http://stock.jrj.com.cn/2018/05/24072924583218.shtml
2017-09-12 19:45,资本左右手：原三木智能实控人缘何增持楚天高速,导语原三木智能实控人拟投资1800万元-2500万元增持楚天高速。2017年1月，楚天高速完成收购当时还在新三板挂牌的三木智能100%股份。 新三板在线 · 2017-09-12 · 文/如雅 · 浏览1236 2017年9月8日，楚天高速(600035)宣布收到原深圳市三木智能技术有限公... ,http://www.chinaipo.com/news/43299.html
2017-09-07 17:04,楚天高速股东拟花费1800万至2500万增持股份,中国网财经9月7日讯 楚天高速今日晚间发布公告，称公司股东张旭辉计划于未来6个月内通过上交所证券交易系统增持股份，金额不低于人民币1800万元，不超过人民币2500万元。 据公告显示，张旭辉已持有楚天高速限售股份1373万股，占楚天高速... ,http://finance.china.com.cn/news/20170907/4382608.shtml
2017-09-07 16:11,楚天高速股东张旭辉拟增持,"中国证券网讯（记者 孔子元）楚天高速7日晚间公告，股东张旭辉计划于未来6个月内增持公司股份，金额不低于1,800万元，不超过2,500万元。截至2017年9月6日下午收盘，张旭辉持有公司限售股份13,733,185股，占公司已发行股份总... ",http://ggjd.cnstock.com/company/scp_ggjd/tjd_ggkx/201709/4126819.htm
2017-08-07 11:07,楚天高速并购交易被提前泄露 双翼科技负责人罚百万,证监会近日依法对2宗内幕交易案件作出行政处罚。其中1宗内幕交易案涉及楚天高速（600035）和新三板企业双翼科技（836301）的并购重组。 时任深圳双翼科技总经理赖伟强系楚天高速与双翼科技拟开展并购重组事项这一内幕信... ,http://finance.sina.com.cn/stock/s/2017-08-07/doc-ifyitapp1988041.shtml
2017-08-05 07:42,2宗内幕交易案受处罚 双翼科技总经理遭罚没一百余万,原标题：2宗内幕交易案受处罚 记者 王雪青 编辑 弘文 证监会新闻发言人高莉4日在例行新闻发布会上表示，近日，证监会依法对2宗内幕交易案件作出行政处罚。 其中，时任深圳市双翼科技股份有限公司（简称“双翼科技”）总经理... ,http://finance.sina.com.cn/roll/2017-08-05/doc-ifyiswpt5451685.shtml
2017-08-05 00:39,新三板企业总经理知情自家并购重组 内幕交易楚天高速被重罚,■本报记者 左永刚 8月4日，《证券日报》记者获悉，证监会近日依法对2宗内幕交易案件作出行政处罚。其中1宗内幕交易案涉及楚天高速和新三板企业并购重组，因新三板企业总经理为内幕信息知情人，内幕交易楚天高速被“罚... ,http://www.ccstock.cn/stock/gupiaoyaowen/2017-08-05/A1501863496786.html
2017-08-04 17:04,证监会对2宗案件作出行政处罚,近日，证监会依法对2宗内幕交易案件作出行政处罚。 一是时任深圳市双翼科技股份有限公司(简称双翼科技)总经理赖伟强系湖北楚天高速公路股份有限公司(简称楚天高速)与双翼科技拟开展并购重组事项这一内幕信息的知情人。在内幕信息敏感期内，赖伟强控... ,http://www.chinaipo.com/Industry/40713.html
2017-07-28 10:23,赖伟强涉嫌内幕交易“楚天高速” 没收被罚近百万,新浪财经讯 7月27日消息，近日，赖伟强涉嫌内幕交易“楚天高速”一案现已调查、审理终结。没收违法所得274，435.8元，并处以823，307.4元的罚款。 以下为行政处罚决定书原文： 当事人：赖伟强，男，1981年9月出生，居住地：深圳市宝安区石岩街... ,http://stock.caijing.com.cn/20170728/4307688.shtml
2017-02-24 01:41,湖北楚天高速公路股份有限公司公告（系列）,证券简称: 楚天高速 证券代码:600035 公告编号:2017-012 公司债简称：13楚天01 公司债代码：122301 公司债简称：13楚天02 公司债代码：122378 湖北楚天高速公路股份有限公司发行股份及支付现金购买资产并募集配套资金 ... ,http://finance.sina.com.cn/stock/t/2017-02-24/doc-ifyavwcv8667141.shtml
2017-02-08 09:12,"楚天高速:获投资收益4251万增厚10%,国企改革价值仍被低估","原标题：楚天高速:获投资收益4251万增厚10%,国企改革价值仍被低估 公告/新闻:公司发布公告，全资子公司拟退出2014年10月成立的武汉天风睿信资本投资中心基金项目，预计将获得投资收益共计4251万元。 获得投资收益4251万元，... ",http://finance.sina.com.cn/roll/2017-02-08/doc-ifyafcyx7488705.shtml
2017-01-13 14:39,三木智能挂牌半年就匆匆离开新三板 或与被楚天高速收购有关,艾媒网综合报道 1月9日盘后，三木智能发布公告称，自2017年1月10日起，公司股票终止在全国股转系统挂牌。 在2016年12月1日，三木智能发布公告称，根据公司发展需要，公司拟向全国中小企业股份转让系统有限责任公司申请公司股票终止挂牌。尽管未明确解释原因，但... ,http://www.iimedia.cn/47750.html
2017-01-10 07:42,三木智能1月10日起终止挂牌 或与被楚天高速收购有关,中国网财经1月9日讯 1月9日盘后，三木智能发布公告称，自2017年1月10日起，公司股票终止在全国股转系统挂牌。 在2016年12月1日，三木智能发布公告称，因公司发展需要，公司拟申请股票在全国股转系统终止挂牌。尽管未明确解释原因，但... ,http://sbsc.stock.cnfol.com/xsbyw/20170110/24129562.shtml
2016-11-28 07:34,楚天高速重组获证监会有条件通过,中国证券网讯 楚天高速25日晚间公告，公司收到中国证监会通知，经中国证监会并购重组委于11月25日召开的并购重组委2016年第88次工作会议审核，公司本次发行股份及支付现金购买资产并募集配套资金暨关联交易事项获得有条件通过。 公司股票自1... ,http://stock.stockstar.com/JC2016112800000188.shtml
2016-11-25 20:16,晚间上市公司停复牌公告,&gt;&gt;&gt;欲知更多牛股，赶快加入证券之星官方交流QQ群【574254719】，进群请注明“牛股” 楚天高速重组获证监会有条件通过 楚天高速25日晚间公告，公司收到中国证监会通知，经中国证监会并购重组委于11月25日召开的并购重组委2016年第88次工作会... ,http://stock.stockstar.com/SS2016112500002521.shtml
2016-11-25 17:48,并购重组委2016年第88次会议审核结果公告,原标题：并购重组委2016年第88次会议审核结果公告 中国证券监督管理委员会上市公司并购重组审核委员会2016年第88次会议于2016年11月25日上午召开。现将会议审核结果公告如下： 一、审核结果 湖北楚天高速公路股份有限公... ,http://finance.sina.com.cn/stock/t/2016-11-25/doc-ifxyasmv1873493.shtml
2016-10-27 19:44,楚天高速(600035)与湖北交投集团财务公司续签《金融服务协议》,"2016年10月28日公告,公司拟与湖北交投集团财务有限公司(以下简称“财务公司”)签署《金融服务协议》,由其向湖北楚天高速（600035）公路股份有限公司及其全资子公司、控股子公司提供资金结算、综合授信及其他金融服务(其他金融服务需另行订立... ",http://news.10jqka.com.cn/20161027/c594488658.shtml
2016-08-26 17:29,三木智能：关于重大事项暂停转让进展的公告,深圳市三木智能股份有限公司（以下简称“公司”）正在与上市公司湖北楚天高速公路股份有限公司（股票简称“楚天高速”，股票代码“600035”）筹划被收购的相关事宜，本次重大事项尚存在重大不确定性，为维护广大投资者的利益，保证信息披露的公平，避免... ,http://www.chinaipo.com/notice/21353.html
2016-08-10 13:19,楚天高速收购三木智能 时点把控耐人寻味,楚天高速（个股资料 操作策略 盘中直播 我要咨询） 《证券市场红周刊》此前曾刊发了《楚天高速收购标的财务数据存疑》一文，文章指出楚天高速在收购三木智能过程中存在采购数据及出口退税方面的问题，而除了此前文章中提到的财务疑点之外，笔... ,http://stock.stockstar.com/SS2016081000002109.shtml
2016-08-05 21:06,新三板公司又卖身 楚天高速12.6亿收购三木智能,读懂新三板报道 8月5日，A股上市公司楚天高速（600035）发布公告称，公司拟以12.6亿的价格收购新三板公司三木智能（837418.OC）100%的股权，同时拟以4.64元每股的价格向湖北交投集团等12家机构配套融资不超过4.08亿元。根据方案，楚天高速将以发行1.9亿股的方... ,http://www.ddxsb.com/post/13063.html
